city,population,"violent crime","murder and nonnegligent manslaughter","rape (revised definition)","rape (legacy definition)",robbery,"aggravated assault","property crime",burglary,"larceny-theft","motor vehicle theft",arson
Forney,16257,19,0,4,0,2,13,308,91,184,33,1
Fort Stockton,8357,58,0,0,15,3,40,316,68,242,6,0
Fort Worth,789035,4420,48,523,0,1256,2593,34272,8316,23557,2399,155
Frankston,1229,3,0,0,0,2,1,47,15,31,1,0
Fredericksburg,10768,9,0,0,0,3,6,255,57,195,3,0
Freeport,12090,28,0,0,2,8,18,469,122,323,24,3
Freer,2769,28,0,0,1,5,22,88,25,61,2,1
Friendswood,37226,11,0,0,1,2,8,418,88,313,17,0
Friona,4066,1,0,0,0,0,1,21,8,12,1,0
Frisco,131769,100,0,21,0,22,57,2507,374,2075,58,15
Fulton,1417,3,0,0,0,2,1,55,25,28,2,0
Gainesville,16089,89,2,0,9,14,64,898,197,642,59,5
Galena Park,11097,18,0,0,6,8,4,232,59,146,27,1
Galveston,48067,236,3,0,56,93,84,2335,439,1707,189,6
Garden Ridge,3573,1,0,0,0,0,1,29,9,20,0,0
Garland,235683,514,6,0,53,237,218,8371,2053,5671,647,30
Gatesville,16072,22,0,0,4,3,15,161,39,109,13,1
Georgetown,53844,71,1,17,0,7,46,767,93,642,32,1
Giddings,4912,15,0,0,7,1,7,167,35,129,3,0
Gilmer,5104,36,1,0,2,2,31,205,22,172,11,0
Gladewater,6503,43,0,0,2,7,34,312,70,224,18,0
Glenn Heights,11853,30,0,0,1,4,25,262,105,144,13,1
Godley,1035,2,0,0,0,0,2,18,7,11,0,0
Gonzales,7324,105,1,0,16,6,82,329,69,255,5,0
Gorman,1071,3,0,0,0,0,3,43,18,23,2,1
Graham,8773,18,0,0,2,2,14,386,79,293,14,1
Granbury,8464,21,0,0,8,0,13,589,58,518,13,0
Grand Prairie,183822,511,11,0,54,155,291,5158,1120,3448,590,16
Grand Saline,3114,2,0,0,0,0,2,76,21,55,0,0
Granger,1501,1,0,0,0,0,1,4,2,2,0,0
Granite Shoals,4945,7,1,0,1,0,5,54,16,29,9,2
Grapeland,1439,2,0,0,0,0,2,26,10,16,0,0
Grapevine,49075,88,1,0,7,20,60,1554,182,1270,102,2
Greenville,25895,204,0,0,15,56,133,1279,266,948,65,5
Gregory,1914,2,0,0,1,1,0,28,9,16,3,0
Groesbeck,4348,2,0,0,0,0,2,53,15,35,3,0
Groves,15725,79,0,0,8,17,54,523,130,364,29,0
Gun Barrel City,5785,12,1,0,1,0,10,199,50,134,15,0
Hale Center,2246,5,0,0,0,0,5,62,35,26,1,1
Hallettsville,2592,17,0,0,1,2,14,61,15,42,4,0
Hallsville,3924,8,0,0,0,0,8,46,12,32,2,0
Haltom City,43676,110,2,0,11,34,63,1455,391,943,121,7
Hamlin,2037,19,0,0,0,0,19,48,12,34,2,1
Harker Heights,28125,90,0,0,8,25,57,950,226,687,37,1
Harlingen,65885,264,2,0,21,59,182,2584,496,2012,76,11
Haskell,3323,3,0,0,0,0,3,18,8,9,1,0
Hawkins,1282,0,0,0,0,0,0,47,16,27,4,0
Hawley,610,1,0,0,0,0,1,17,9,6,2,0
Hearne,4443,47,0,0,1,3,43,114,31,81,2,1
Heath,7733,1,0,0,0,0,1,55,5,49,1,0
Hedwig Village,2643,6,0,0,0,4,2,208,19,175,14,0
Helotes,8054,4,0,0,1,2,1,116,19,94,3,0
Hemphill,1200,1,0,0,0,0,1,34,5,25,4,0
Hempstead,6187,18,0,0,0,8,10,219,72,134,13,0
Henderson,13837,96,1,2,0,12,81,647,77,545,25,2
Hereford,15327,55,0,0,6,9,40,474,173,283,18,2
Hewitt,13944,14,2,0,0,1,11,127,30,90,7,0
